"Tablica 4.1.2. Proizvodnja voæa, grožða i maslina u tonama, Republika Hrvatska"

"Kategorija";"2000.";"2001.";"2002.";"2003.";"2004.";"2005.";"2006.";"2007.";"2008.";"2009.";"2010.";"2011.";"2012.";"2013.";"2014.";"2015."
"1.   Jabuke";64077;22405;44160;46340;63092;57298;57571;62991;57341;73924;89124;99676;37414;121738;96703;96182
"2.   Kruške";4352;2872;2878;3249;4926;1591;3363;4427;3294;3570;3308;5083;1230;4124;2909;3782
"3.   Breskve i nektarine (4 + 5)";6941;7085;8043;4848;5995;5171;4721;3696;5315;7806;6356;8940;4618;4998;4403;5261
"4.   Breskve";-;-;-;-;-;-;-;-;-;-;5466;7806;3516;3606;3185;3659
"5.   Nektarine";-;-;-;-;-;-;-;-;-;-;890;1134;1102;1392;1218;1602
"6.   Marelice";471;233;338;368;376;261;724;675;869;464;408;675;244;629;364;337
"7.   Trešnje i višnje (8 + 9)";8416;8185;7552;7349;4551;5084;5312;5930;7654;5253;4994;9081;6469;12227;10688;6777
"8.   Trešnje";2920;2233;2943;2516;2307;3498;3141;2723;3863;2126;1115;2120;2342;3927;795;1405
"9.   Višnje";5496;5952;4609;4833;2244;1586;2171;3207;3791;3127;3879;6961;4127;8300;9893;5372
"10.  Šljive";22261;22123;11418;23745;33104;12630;15288;19867;15812;13579;20403;24849;9936;29349;5649;9069
"11.  Orasi";4480;2971;2540;3183;3527;7204;6890;7510;1966;1964;4279;2641;861;902;2848;635
"12.  Lješnjaci";-;-;-;-;176;366;702;957;911;1016;2964;1548;344;1561;908;1462
"13.  Bademi";2357;2146;2175;1297;1091;777;568;536;651;1493;143;143;158;74;69;54
"14.  Smokve";4084;3870;3695;3335;3459;1108;914;1093;1388;1221;908;1287;1266;908;725;699
"15.  Jagode";1085;1114;1331;1357;1520;2156;2553;1171;1342;1463;1776;1962;1281;3914;3167;2367
"16.  Bobièasto voæe bez jagoda";-;-;-;-;-;-;-;-;-;855;817;1193;324;975;478;1756
"17.  Naranèe";497;583;503;463;332;574;556;531;416;524;202;315;269;145;106;158
"18.  Mandarinke";18995;17656;15757;10449;14470;7576;41201;41655;48297;35907;55000;41870;50786;40024;64378;35722
"19.  Limuni";403;502;472;438;397;213;218;459;247;236;138;200;195;240;181;183
"20.  Grožðe, ukupno";182436;186175;188749;183451;174536;181021;179426;197979;185256;206437;207743;204373;187550;181096;134941;154227
"21.  Masline, ukupno";16215;19413;32955;9482;20613;36602;27530;34527;35955;32592;38001;31423;50945;34269;8840;28267
"22.  Svježe voæe (okuænica)";50943;41167;38121;44320;67813;51945;68773;82813;79360;71777;60756;45923;23698;26763;15105;16074
